65	48	52	18	500
66	48	53	18	0
67	48	54	18	0
68	48	55	18	125
69	48	56	18	375
70	49	52	18	0
71	49	53	18	500
72	49	54	18	167
73	49	55	18	83
74	49	56	18	250
75	50	52	18	0
76	50	53	18	1000
77	50	54	18	0
78	50	55	18	0
79	50	56	18	0
80	51	57	19	500
81	51	58	19	0
82	51	59	19	0
83	51	60	19	125
84	51	61	19	375
85	52	57	19	0
86	52	58	19	542
87	52	59	19	125
88	52	60	19	83
89	52	61	19	250
90	53	57	19	0
91	53	58	19	1000
92	53	59	19	0
93	53	60	19	0
94	53	61	19	0
111	60	70	23	1000
112	60	71	23	0
113	60	72	23	0
114	61	70	23	0
115	61	71	23	1000
116	61	72	23	0
117	62	73	24	584
118	62	74	24	416
119	62	75	24	0
120	63	73	24	637
121	63	74	24	363
122	63	75	24	0
123	64	73	24	628
124	64	74	24	0
125	64	75	24	372
126	65	76	25	1000
127	65	77	25	0
128	65	78	25	0
129	66	76	25	1000
130	66	77	25	0
131	66	78	25	0
132	67	79	26	972
133	67	80	26	28
134	67	81	26	0
135	68	79	26	984
136	68	80	26	16
137	68	81	26	0
138	69	79	26	981
139	69	80	26	0
140	69	81	26	19
141	70	82	27	949
142	70	83	27	12
143	70	84	27	39
144	71	82	27	924
145	71	83	27	24
146	71	84	27	52
147	72	82	27	916
148	72	83	27	52
149	72	84	27	32
150	73	85	28	598
151	73	86	28	219
152	73	87	28	183
153	74	85	28	651
154	74	86	28	201
155	74	87	28	148
156	75	88	29	646
157	75	89	29	354
158	75	90	29	0
159	76	88	29	628
160	76	89	29	372
161	76	90	29	0
162	77	88	29	641
163	77	89	29	0
164	77	90	29	359
165	80	94	31	1000
166	80	95	31	0
167	80	96	31	0
168	81	94	31	0
169	81	95	31	1000
170	81	96	31	0
171	82	94	31	0
172	82	95	31	50
173	82	96	31	950
230	147	159	51	158
231	147	160	51	526
232	147	161	51	263
233	147	162	51	53
234	148	159	51	210
235	148	160	51	158
236	148	161	51	421
237	148	162	51	211
238	149	163	52	545
